,category,scientific_name,common_names,conservation_status,park_name,observations
95,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Yosemite National Park,133
96,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Yosemite National Park,141
97,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Bryce National Park,116
98,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Yellowstone National Park,256
99,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Bryce National Park,72
100,Mammal,Lontra canadensis,River Otter,Not in Danger,Bryce National Park,99
101,Mammal,Lontra canadensis,River Otter,Not in Danger,Yosemite National Park,175
102,Mammal,Lontra canadensis,River Otter,Not in Danger,Great Smoky Mountains National Park,69
103,Mammal,Lontra canadensis,River Otter,Not in Danger,Yellowstone National Park,219
104,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Bryce National Park,127
105,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Great Smoky Mountains National Park,62
106,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Yosemite National Park,187
107,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Great Smoky Mountains National Park,65
108,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Yosemite National Park,193
109,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Yellowstone National Park,242
110,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Yellowstone National Park,216
111,Mammal,Lutra canadensis,Northern River Otter,Not in Danger,Bryce National Park,91
112,Mammal,Martes pennanti,Fisher,Not in Danger,Bryce National Park,75
113,Mammal,Martes pennanti,Fisher,Not in Danger,Great Smoky Mountains National Park,68
114,Mammal,Martes pennanti,Fisher,Not in Danger,Yellowstone National Park,268
115,Mammal,Martes pennanti,Fisher,Not in Danger,Yosemite National Park,153
116,Mammal,Mustela,Mink (Or Weasel),Not in Danger,Yellowstone National Park,234
117,Mammal,Mustela,Mink (Or Weasel),Not in Danger,Yosemite National Park,130
118,Mammal,Mustela,Mink (Or Weasel),Not in Danger,Great Smoky Mountains National Park,82
119,Mammal,Mustela,Mink (Or Weasel),Not in Danger,Bryce National Park,94
120,Mammal,Mustela frenata,Long-Tailed Weasel,Not in Danger,Yellowstone National Park,252
121,Mammal,Mustela frenata,Long-Tailed Weasel,Not in Danger,Great Smoky Mountains National Park,77
122,Mammal,Mustela frenata,Long-Tailed Weasel,Not in Danger,Yosemite National Park,123
123,Mammal,Mustela frenata,Long-Tailed Weasel,Not in Danger,Bryce National Park,109
124,Mammal,Mustela nivalis,Least Weasel,Not in Danger,Great Smoky Mountains National Park,75
125,Mammal,Mustela nivalis,Least Weasel,Not in Danger,Bryce National Park,96
126,Mammal,Mustela nivalis,Least Weasel,Not in Danger,Yosemite National Park,155
127,Mammal,Mustela nivalis,Least Weasel,Not in Danger,Yellowstone National Park,209
128,Mammal,Mustela vison,Mink,Not in Danger,Yosemite National Park,140
129,Mammal,Mustela vison,Mink,Not in Danger,Great Smoky Mountains National Park,78
130,Mammal,Mustela vison,Mink,Not in Danger,Bryce National Park,80
131,Mammal,Mustela vison,Mink,Not in Danger,Yellowstone National Park,222
132,Mammal,Mustela vison,Mink,Not in Danger,Yellowstone National Park,251
133,Mammal,Mustela vison,Mink,Not in Danger,Yosemite National Park,182
134,Mammal,Mustela vison,Mink,Not in Danger,Bryce National Park,97
135,Mammal,Mustela vison,Mink,Not in Danger,Great Smoky Mountains National Park,54
136,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Bryce National Park,89
137,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Great Smoky Mountains National Park,100
138,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yosemite National Park,166
139,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yellowstone National Park,240
140,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Bryce National Park,81
141,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yellowstone National Park,256
142,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Great Smoky Mountains National Park,84
143,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yellowstone National Park,249
144,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yosemite National Park,154
145,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Great Smoky Mountains National Park,63
146,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Bryce National Park,77
147,Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not in Danger,Yosemite National Park,133
148,Mammal,Ursus americanus,Black Bear,Not in Danger,Yosemite National Park,162
149,Mammal,Ursus americanus,Black Bear,Not in Danger,Great Smoky Mountains National Park,94
150,Mammal,Ursus americanus,Black Bear,Not in Danger,Bryce National Park,86
151,Mammal,Ursus americanus,Black Bear,Not in Danger,Bryce National Park,128
152,Mammal,Ursus americanus,Black Bear,Not in Danger,Yellowstone National Park,245
153,Mammal,Ursus americanus,Black Bear,Not in Danger,Great Smoky Mountains National Park,28
154,Mammal,Ursus americanus,Black Bear,Not in Danger,Yellowstone National Park,228
155,Mammal,Ursus americanus,Black Bear,Not in Danger,Yosemite National Park,161
156,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not in Danger,Yosemite National Park,188
157,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not in Danger,Great Smoky Mountains National Park,80
158,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not in Danger,Bryce National Park,57
159,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not in Danger,Yellowstone National Park,259
160,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yellowstone National Park,227
161,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Bryce National Park,112
162,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Great Smoky Mountains National Park,59
163,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yosemite National Park,130
164,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yosemite National Park,124
165,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Great Smoky Mountains National Park,87
166,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yellowstone National Park,236
167,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Bryce National Park,72
168,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Yellowstone National Park,245
169,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Yosemite National Park,108
170,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Yellowstone National Park,205
171,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Great Smoky Mountains National Park,46
172,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Great Smoky Mountains National Park,29
173,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Yosemite National Park,158
174,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Bryce National Park,100
175,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Bryce National Park,128
176,Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not in Danger,Yosemite National Park,134
177,Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not in Danger,Yellowstone National Park,296
178,Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not in Danger,Bryce National Park,121
179,Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not in Danger,Great Smoky Mountains National Park,127
180,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Yosemite National Park,150
181,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Great Smoky Mountains National Park,84
182,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Yosemite National Park,115
183,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Bryce National Park,67
184,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Great Smoky Mountains National Park,60
185,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Yellowstone National Park,252
186,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Bryce National Park,120
187,Mammal,Lasiurus cinereus,Hoary Bat,Not in Danger,Yellowstone National Park,241
188,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Yellowstone National Park,240
189,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Great Smoky Mountains National Park,60
190,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Bryce National Park,152
191,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Yosemite National Park,116
192,Mammal,Myotis grisescens,Gray Myotis,Endangered,Bryce National Park,27
193,Mammal,Myotis grisescens,Gray Myotis,Endangered,Yellowstone National Park,68
194,Mammal,Myotis grisescens,Gray Myotis,Endangered,Yosemite National Park,39
195,Mammal,Myotis grisescens,Gray Myotis,Endangered,Great Smoky Mountains National Park,26
196,Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Bryce National Park,86
197,Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Great Smoky Mountains National Park,29
198,Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Yellowstone National Park,227
199,Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Yosemite National Park,144
200,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Yosemite National Park,132
201,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Bryce National Park,84
202,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Great Smoky Mountains National Park,49
203,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Yellowstone National Park,233
204,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Great Smoky Mountains National Park,57
205,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yellowstone National Park,239
206,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Great Smoky Mountains National Park,59
207,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Bryce National Park,103
208,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yosemite National Park,124
209,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Bryce National Park,108
210,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Great Smoky Mountains National Park,58
211,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yellowstone National Park,233
212,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yosemite National Park,134
213,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Bryce National Park,87
214,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yosemite National Park,138
215,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Yellowstone National Park,207
216,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Great Smoky Mountains National Park,34
217,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Yellowstone National Park,143
218,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Bryce National Park,52
219,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Yosemite National Park,73
220,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Yosemite National Park,36
221,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Great Smoky Mountains National Park,14
222,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Bryce National Park,27
223,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Yellowstone National Park,68
224,Mammal,Nycticeius humeralis,Evening Bat,Not in Danger,Yellowstone National Park,219
225,Mammal,Nycticeius humeralis,Evening Bat,Not in Danger,Bryce National Park,110
226,Mammal,Nycticeius humeralis,Evening Bat,Not in Danger,Great Smoky Mountains National Park,84
227,Mammal,Nycticeius humeralis,Evening Bat,Not in Danger,Yosemite National Park,149
228,Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not in Danger,Great Smoky Mountains National Park,85
229,Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not in Danger,Yellowstone National Park,262
230,Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not in Danger,Bryce National Park,106
231,Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not in Danger,Yosemite National Park,145
232,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Bryce National Park,105
233,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Yosemite National Park,139
234,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Great Smoky Mountains National Park,57
235,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Bryce National Park,103
236,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Yellowstone National Park,235
237,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Great Smoky Mountains National Park,117
238,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Yosemite National Park,151
239,Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not in Danger,Yellowstone National Park,230
240,Mammal,Lepus americanus,Snowshoe Hare,Not in Danger,Yosemite National Park,137
241,Mammal,Lepus americanus,Snowshoe Hare,Not in Danger,Bryce National Park,108
242,Mammal,Lepus americanus,Snowshoe Hare,Not in Danger,Yellowstone National Park,278
243,Mammal,Lepus americanus,Snowshoe Hare,Not in Danger,Great Smoky Mountains National Park,62
244,Mammal,Sylvilagus floridanus,Eastern Cottontail,Not in Danger,Yosemite National Park,164
245,Mammal,Sylvilagus floridanus,Eastern Cottontail,Not in Danger,Yellowstone National Park,271
246,Mammal,Sylvilagus floridanus,Eastern Cottontail,Not in Danger,Great Smoky Mountains National Park,57
247,Mammal,Sylvilagus floridanus,Eastern Cottontail,Not in Danger,Bryce National Park,114
248,Mammal,Sylvilagus obscurus,Appalachian Cottontail,Not in Danger,Yellowstone National Park,248
249,Mammal,Sylvilagus obscurus,Appalachian Cottontail,Not in Danger,Bryce National Park,82
250,Mammal,Sylvilagus obscurus,Appalachian Cottontail,Not in Danger,Yosemite National Park,113
251,Mammal,Sylvilagus obscurus,Appalachian Cottontail,Not in Danger,Great Smoky Mountains National Park,79
252,Mammal,Sylvilagus transitionalis,New England Cottontail,Not in Danger,Bryce National Park,107
253,Mammal,Sylvilagus transitionalis,New England Cottontail,Not in Danger,Great Smoky Mountains National Park,88
254,Mammal,Sylvilagus transitionalis,New England Cottontail,Not in Danger,Yellowstone National Park,206
255,Mammal,Sylvilagus transitionalis,New England Cottontail,Not in Danger,Yosemite National Park,182
256,Mammal,Equus caballus,"Feral Horse, Horse",Not in Danger,Great Smoky Mountains National Park,61
257,Mammal,Equus caballus,"Feral Horse, Horse",Not in Danger,Yellowstone National Park,219
258,Mammal,Equus caballus,"Feral Horse, Horse",Not in Danger,Yosemite National Park,155
259,Mammal,Equus caballus,"Feral Horse, Horse",Not in Danger,Bryce National Park,75
260,Mammal,Homo sapiens,"Human, Humans, Man",Not in Danger,Yellowstone National Park,276
261,Mammal,Homo sapiens,"Human, Humans, Man",Not in Danger,Bryce National Park,102
262,Mammal,Homo sapiens,"Human, Humans, Man",Not in Danger,Yosemite National Park,138
263,Mammal,Homo sapiens,"Human, Humans, Man",Not in Danger,Great Smoky Mountains National Park,80
264,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Great Smoky Mountains National Park,95
265,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Great Smoky Mountains National Park,62
266,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yellowstone National Park,183
267,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Bryce National Park,70
268,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yellowstone National Park,256
269,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yosemite National Park,149
270,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yellowstone National Park,264
271,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Bryce National Park,105
272,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yosemite National Park,191
273,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Bryce National Park,103
274,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Great Smoky Mountains National Park,86
275,Mammal,Castor canadensis,"American Beaver, Beaver",Not in Danger,Yosemite National Park,161
276,Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Not in Danger,Great Smoky Mountains National Park,93
277,Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Not in Danger,Yellowstone National Park,253
278,Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Not in Danger,Yosemite National Park,121
279,Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Not in Danger,Bryce National Park,133
280,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Not in Danger,Bryce National Park,123
281,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Not in Danger,Great Smoky Mountains National Park,28
282,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Not in Danger,Yellowstone National Park,258
283,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Not in Danger,Yosemite National Park,158
284,Mammal,Microtus pennsylvanicus,Meadow Vole,Not in Danger,Yellowstone National Park,195
285,Mammal,Microtus pennsylvanicus,Meadow Vole,Not in Danger,Yosemite National Park,156
286,Mammal,Microtus pennsylvanicus,Meadow Vole,Not in Danger,Great Smoky Mountains National Park,70
287,Mammal,Microtus pennsylvanicus,Meadow Vole,Not in Danger,Bryce National Park,93
